"County","State","Age.Percent 65 and Older","Age.Percent Under 18 Years","Age.Percent Under 5 Years","Education.Bachelor's Degree or Higher","Education.High School or Higher","Employment.Nonemployer Establishments","Employment.Private Non-farm Employment","Employment.Private Non-farm Employment Percent Change","Employment.Private Non-farm Establishments","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Black Alone","Ethnicities.Hispanic or Latino","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.White Alone","Ethnicities.White Alone, not Hispanic or Latino","Housing.Homeownership Rate","Housing.Households","Housing.Housing Units","Housing.Median Value of Owner-Occupied Units","Housing.Persons per Household","Housing.Units in Multi-Unit Structures","Income.Median Houseold Income","Income.Per Capita Income","Income.Persons Below Poverty Level","Miscellaneous.Building Permits","Miscellaneous.Foreign Born","Miscellaneous.Land Area","Miscellaneous.Language Other than English at Home","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Manufacturers Shipments","Miscellaneous.Mean Travel Time to Work","Miscellaneous.Percent Female","Miscellaneous.Veterans","Population.2010 Population","Population.2014 Population","Population.Population Percent Change","Population.Population per Square Mile","Sales.Accommodation and Food Services Sales","Sales.Merchant Wholesaler Sales","Sales.Retail Sales","Sales.Retail Sales per Capita","Employment.Firms.American Indian-Owned","Employment.Firms.Asian-Owned","Employment.Firms.Black-Owned","Employment.Firms.Hispanic-Owned","Employment.Firms.Native Hawaiian and Other Pacific Islander-Owned","Employment.Firms.Total","Employment.Firms.Women-Owned"
"Randolph County","AL","19.6","22.0","5.7","11.1","72.6","1388","3481","0.0","340","0.5","0.3","20.2","2.9","0.1","1.4","77.6","75.0","72.3","9013","11928","88600","2.48","5.7","35213","19830","24.5","0","1.7","580.55","3.4","87.9","4016","26.8","51.4","1598","22913","22539","-1.6","39.5","92","267","1614","7209","0.0","0.0","7.1","0.0","0.0","1550","0.0"
"Russell County","AL","12.5","25.3","7.6","16.0","80.4","3523","10489","-1.9","783","0.6","0.8","42.9","5.0","0.2","2.4","53.1","49.5","61.3","21142","26787","104400","2.6","19.8","36143","19678","22.0","244","2.2","641.14","5.0","81.7","0","23.6","51.3","5977","52947","59608","12.6","82.6","563","0","4282","8526","0.0","0.0","33.9","1.0","0.0","3823","32.4"
"St. Clair County","AL","15.3","23.0","6.1","15.5","82.0","5172","15265","1.0","1266","0.4","0.8","9.5","2.3","0.1","1.3","87.9","85.9","81.5","31353","35844","134600","2.63","5.1","50786","23872","15.2","80","1.8","631.9","2.5","86.8","9854","30.0","50.1","6928","83593","86697","3.7","132.3","702","3174","5813","7404","1.0","1.4","2.4","0.0","0.0","6061","28.1"
"Shelby County","AL","13.0","24.4","6.0","40.3","91.2","15634","76137","2.1","4845","0.4","2.2","12.1","6.0","0.0","1.3","84.0","78.5","79.0","74144","83498","193000","2.64","12.1","68770","33313","7.9","896","6.0","784.93","8.3","86.6","17230","29.0","51.2","13991","195085","206655","5.9","248.5","3018","43855","25204","13737","0.6","0.0","5.7","2.0","0.0","18393","30.5"
"Sumter County","AL","16.3","19.7","4.8","14.9","75.5","823","2966","8.1","202","0.1","0.4","73.5","1.1","0.0","0.5","25.5","24.8","64.7","5060","6748","74100","2.57","16.3","22186","14156","38.0","3","0.9","903.89","1.9","87.9","0","23.4","55.0","706","13763","13166","-4.3","15.2","81","764","596","4494","0.0","0.0","57.5","0.0","0.0","730","0.0"
"Talladega County","AL","16.1","22.3","5.5","13.0","78.9","3988","23763","4.8","1230","0.4","0.4","32.5","2.3","0.0","1.5","65.2","63.4","71.2","31486","37177","92600","2.5","11.6","35439","19410","22.9","65","1.6","736.78","2.8","85.0","90542","23.9","51.4","6691","82291","81322","-1.2","111.7","670","0","7307","9113","0.0","1.5","0.0","0.0","0.0","4872","26.6"
"Tallapoosa County","AL","19.6","21.1","5.8","16.3","79.2","2478","10771","4.1","721","0.4","0.5","27.3","2.3","0.0","1.2","70.6","68.9","72.2","16373","22029","94900","2.49","10.1","39130","21434","19.8","16","1.9","716.52","2.9","86.0","0","23.9","51.4","3631","41616","41165","-1.1","58.1","282","0","3623","8881","0.0","0.0","13.0","0.0","0.0","3528","35.0"
"Tuscaloosa County","AL","11.7","21.1","6.0","27.0","86.6","11107","72917","3.0","4009","0.3","1.5","31.0","3.3","0.1","1.1","66.0","63.2","64.4","67882","87795","153300","2.76","27.9","45408","22637","18.9","1375","3.5","1321.76","5.8","81.2","108524","21.8","51.7","12198","194656","202212","3.9","147.3","3274","7606","24458","13664","0.9","0.0","13.3","0.0","0.0","14729","22.5"
"Walker County","AL","18.2","22.1","5.8","10.5","76.4","3509","15669","4.1","1250","0.5","0.4","6.4","2.3","0.1","1.3","91.3","89.4","75.0","25751","30669","82100","2.55","5.7","37566","20698","20.9","8","1.2","791.19","1.4","85.3","3148","29.3","51.4","5353","67023","65471","-2.3","84.7","738","2563","9036","13162","0.0","0.6","0.0","0.0","0.0","5365","23.8"
"Washington County","AL","17.0","22.5","4.9","9.5","80.5","1031","5756","-4.7","217","7.9","0.1","24.6","1.4","0.1","1.3","66.0","65.1","86.5","6620","8377","83900","2.59","2.0","42156","20395","18.4","2","0.9","1080.21","1.9","91.3","11534","31.8","51.2","1025","17581","16834","-4.3","16.3","0","328","763","4458","0.0","0.0","0.0","0.0","0.0","1288","25.6"
"Wilcox County","AL","17.7","24.8","5.7","11.1","76.1","613","1738","-1.1","189","0.2","0.1","71.0","1.0","0.0","0.6","28.1","27.6","74.5","3866","5615","67000","2.9","5.7","23642","13379","39.2","0","0.1","888.5","0.9","93.8","0","21.6","52.4","462","11670","11098","-4.9","13.1","129","213","757","6018","0.0","0.0","66.2","0.0","0.0","928","37.6"
"Winston County","AL","20.0","20.9","5.0","10.4","72.7","1641","6321","-4.3","439","0.9","0.3","1.0","2.9","0.2","1.4","96.3","94.0","74.9","9489","13406","82500","2.52","5.3","32900","18995","24.0","7","1.1","612.98","1.8","83.4","7978","27.0","50.9","1721","24484","24150","-1.4","39.9","165","1656","1667","6853","0.0","0.0","0.0","0.0","0.0","2380","19.6"
"Aleutians East Borough","AK","6.6","10.1","2.8","12.0","78.5","241","0","0.0","59","20.5","40.7","12.0","13.2","0.6","3.4","22.8","11.5","54.7","435","747","118500","2.46","15.7","61250","26535","16.7","0","56.6","6981.94","63.7","77.4","0","4.8","30.9","99","3141","3360","7.0","0.4","0","0","93","3309","71.8","0.0","0.0","0.0","0.0","188","0.0"
"Aleutians West Census Area","AK","5.4","12.3","3.6","13.3","82.7","254","4668","1.9","117","13.0","34.5","7.6","14.1","2.3","4.7","37.8","26.9","36.4","1033","1932","218400","3.52","44.2","81853","31790","9.2","2","34.9","4390.28","47.4","81.5","6348","6.4","32.4","354","5561","5750","3.4","1.3","146","620","467","9823","0.0","0.0","0.0","0.0","0.0","285","26.3"
"Anchorage Municipality","AK","8.9","24.9","7.4","32.8","92.5","19252","152377","4.5","8609","8.2","9.2","6.3","8.9","2.4","7.8","66.1","59.7","60.6","105208","114332","282800","2.73","33.6","77454","36214","7.9","770","9.4","1704.68","17.3","79.5","0","19.4","48.6","30292","291826","301010","3.1","171.2","9333","29140","44827","16096","5.7","5.3","2.5","3.1","0.0","26726","30.2"
"Bethel Census Area","AK","6.6","36.1","11.1","11.7","79.5","1079","3174","0.3","232","81.7","1.1","0.8","1.8","0.2","4.1","12.1","11.5","64.2","4358","5920","189600","3.9","13.0","51689","18497","22.8","11","1.2","40570.0","66.7","85.2","0","7.4","48.3","909","17013","17868","5.0","0.4","40","34","967","5658","54.7","0.0","0.0","0.0","0.0","1238","20.8"
"Bristol Bay Borough","AK","9.7","20.1","5.2","19.4","91.7","220","299","-7.4","66","35.2","1.0","0.0","4.3","0.3","17.3","46.1","44.1","57.3","384","965","175000","2.42","12.7","79531","37024","7.9","2","0.6","503.84","5.2","83.4","0","10.2","44.3","91","997","957","-4.0","2.0","132","0","127","12823","0.0","0.0","0.0","0.0","0.0","250","0.0"
"Denali Borough","AK","8.5","18.8","4.7","28.1","88.8","155","408","0.0","103","3.7","3.6","1.8","3.7","0.1","4.8","86.0","82.7","68.9","716","1760","192500","2.26","9.8","72500","35295","11.4","0","7.4","12751.41","10.3","82.1","0","15.2","45.6","198","1826","1921","5.2","0.1","370","0","110","6120","0.0","0.0","0.0","0.0","0.0","316","0.0"
"Dillingham Census Area","AK","7.9","31.9","11.0","17.8","83.7","790","1264","-1.2","92","70.4","0.9","0.7","3.1","0.2","9.1","18.7","17.6","57.8","1339","2422","194000","3.59","15.2","54150","21498","18.1","4","1.5","18568.78","39.9","84.2","0","8.7","48.6","214","4847","4988","2.9","0.3","71","0","427","8612","58.3","0.0","0.0","0.0","0.0","789","9.1"
"Fairbanks North Star Borough","AK","8.0","24.1","7.7","29.0","93.1","5249","27466","2.2","2471","7.3","3.1","5.4","7.7","0.5","6.3","77.3","71.3","59.2","35588","41684","212500","2.67","24.9","69223","32143","8.4","54","5.7","7338.21","10.3","73.8","0","19.2","45.9","11048","97581","99357","1.8","13.3","2216","0","15742","16072","3.8","3.4","2.0","2.3","0.0","6481","32.5"
"Haines Borough","AK","16.8","19.1","3.7","30.1","96.4","395","635","-0.5","134","10.4","1.1","0.7","2.5","0.0","8.8","79.1","77.5","64.2","1245","1639","171900","2.01","15.0","52866","31096","7.8","6","5.0","2318.6","7.9","78.8","0","11.7","51.0","282","2508","2566","2.3","1.1","63","0","161","6991","0.0","0.0","0.0","0.0","0.0","489","37.2"
"Hoonah-Angoon Census Area","AK","16.5","19.4","5.2","26.9","88.4","287","216","-6.9","71","39.5","0.7","0.6","5.1","0.1","10.3","48.8","47.2","63.4","930","1755","200500","2.23","7.3","49545","28806","14.9","8","3.0","7524.92","13.7","85.9","0","9.7","46.5","172","2150","2082","-3.1","0.3","206","0","520","23610","0.0","0.0","0.0","0.0","0.0","718","20.8"
"Juneau City and Borough","AK","10.6","22.1","5.9","36.7","95.5","2572","10932","-1.0","1135","11.9","6.2","1.6","6.5","1.1","9.3","69.9","65.5","64.5","12099","13207","309900","2.58","32.2","81490","37558","6.2","204","6.5","2701.93","9.9","81.0","0","15.1","48.8","2739","31275","32406","3.6","11.6","868","0","4653","15235","5.2","3.6","1.0","0.0","0.0","3500","26.5"
"Kenai Peninsula Borough","AK","14.2","23.1","6.4","23.7","92.8","6160","14734","3.2","2058","7.3","1.4","0.8","4.0","0.3","5.7","84.5","81.4","72.7","21720","30698","204900","2.5","11.7","61793","31256","8.6","125","2.6","16075.33","8.2","83.7","0","19.1","47.6","6137","55400","57477","3.7","3.4","1312","1937","6669","12527","0.0","0.9","0.0","0.0","0.0","8698","0.0"
"Ketchikan Gateway Borough","AK","12.5","22.8","6.5","25.4","93.5","1317","4722","4.5","583","13.8","7.5","0.9","4.9","0.2","9.1","68.4","65.2","58.5","5295","6239","265600","2.5","39.4","62519","31589","10.2","37","7.3","4858.41","9.8","78.3","0","13.7","47.9","1421","13477","13787","2.3","2.8","455","0","2688","20488","2.4","3.0","0.0","0.0","0.0","1472","16.4"
"Kodiak Island Borough","AK","8.6","26.0","8.0","20.0","89.6","1551","4787","6.1","478","13.0","20.7","1.5","8.7","0.9","6.7","57.2","50.8","56.9","4501","5327","224500","2.97","29.3","68718","28562","11.7","12","14.2","6549.58","22.7","79.4","0","11.1","46.2","1097","13592","13986","2.8","2.1","262","0","1081","8274","21.5","0.0","0.0","8.8","0.0","1847","0.0"
"Lake and Peninsula Borough","AK","9.0","28.1","9.3","15.4","86.8","298","135","7.1","51","63.4","0.3","1.0","3.2","0.3","9.9","25.1","23.6","64.4","508","1501","136400","2.83","2.9","51786","21616","21.1","0","1.7","23652.01","15.8","88.0","0","6.4","47.1","79","1631","1631","-0.2","0.1","0","0","0","0","0.0","0.0","0.0","0.0","0.0","371","0.0"
"Matanuska-Susitna Borough","AK","9.6","27.3","7.2","21.3","92.4","6351","16807","1.7","2070","6.4","1.4","1.3","4.7","0.4","6.7","83.8","80.3","76.7","31123","41313","218900","2.89","11.1","71037","29534","9.9","117","3.4","24607.9","7.0","84.0","0","32.8","47.5","9600","88995","97882","10.0","3.6","1136","1369","8538","10362","4.1","1.0","0.0","0.0","0.0","7646","25.7"
"Nome Census Area","AK","7.3","34.9","11.1","17.1","84.1","572","1910","-1.5","167","74.5","1.2","0.7","2.0","0.1","6.3","17.3","16.5","55.1","2797","4045","142800","3.37","18.1","49974","20271","27.7","10","1.4","22961.76","28.7","83.5","0","6.7","47.6","600","9492","9817","3.4","0.4","101","0","631","6785","45.2","0.0","0.0","0.0","0.0","629","0.0"
"North Slope Borough","AK","4.8","25.8","8.6","14.5","86.0","255","3414","18.3","155","52.1","5.8","1.5","3.9","1.6","5.1","33.9","32.1","48.3","1990","2586","154600","3.48","26.4","80761","46457","10.3","15","5.3","88695.41","36.0","81.1","0","8.9","37.5","604","9430","9703","2.9","0.1","563","1352","701","10574","11.4","0.0","0.0","0.0","0.0","263","11.8"
"Northwest Arctic Borough","AK","6.9","36.1","11.5","11.0","78.7","219","1591","-4.3","72","78.8","0.9","1.0","2.1","0.2","6.0","13.1","12.1","56.0","1828","2704","131000","4.0","17.5","61607","21461","22.0","20","1.2","35572.58","33.9","83.1","0","7.6","45.8","367","7523","7717","2.6","0.2","0","0","415","5599","51.9","0.0","0.0","0.0","0.0","189","39.7"
"Petersburg Borough","AK","13.3","22.3","6.7","25.7","95.7","755","1079","-4.1","167","9.8","3.1","1.6","5.6","0.3","7.3","77.9","73.6","69.2","1643","1646","215100","2.2","14.5","63934","34183","13.5","9","4.6","3281.98","9.7","86.4","1289","7.7","48.2","345","3815","3160","-1.5","1.2","83","204","684","17606","0.0","0.0","0.0","0.0","0.0","1395","22.2"
"Prince of Wales-Hyder Census Area","AK","11.4","24.1","6.5","15.7","91.0","540","894","-7.8","134","42.4","0.7","0.4","3.3","0.4","9.0","47.2","45.5","70.7","2240","3319","162500","2.49","10.5","46071","24581","15.1","4","1.4","3922.87","4.8","82.2","0","14.6","45.3","492","5559","6396","3.6","1.4","109","0","415","7514","15.8","0.0","0.0","0.0","0.0","905","9.1"
"Sitka City and Borough","AK","13.2","22.2","6.1","34.1","91.2","1275","2867","-0.1","382","15.9","6.6","1.1","6.0","0.3","9.1","67.0","63.6","56.2","3554","4122","323200","2.42","27.2","69405","32521","10.0","17","7.7","2870.34","13.3","84.0","0","12.3","48.7","757","8881","8900","0.2","3.1","270","0","949","10875","12.8","0.0","0.0","0.0","0.0","1938","16.3"
"Skagway Municipality","AK","10.6","13.1","5.2","24.3","95.2","127","337","10.5","109","5.0","0.7","0.3","4.3","0.2","4.0","89.9","86.2","59.2","412","662","305600","2.23","27.6","71667","37139","5.5","2","8.9","452.33","12.2","83.0","0","4.4","47.6","47","968","1036","7.0","2.1","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0","0.0"
"Southeast Fairbanks Census Area","AK","12.0","25.6","7.7","23.1","93.1","542","1265","-0.7","172","11.6","1.3","1.5","4.9","0.5","5.2","80.0","76.2","66.5","2326","3890","175000","2.84","16.9","56801","29437","13.3","0","9.1","24768.81","23.4","76.9","0","12.2","44.4","973","7029","6931","-1.4","0.3","221","0","473","6906","0.0","0.0","0.0","0.0","0.0","567","0.0"
"Valdez-Cordova Census Area","AK","10.1","24.5","7.1","23.9","91.0","1258","2786","-2.2","461","13.5","4.0","0.9","4.7","0.7","6.9","74.0","70.7","74.5","3424","6089","177700","2.73","18.1","74878","32579","8.3","3","4.6","34239.88","8.9","80.5","5433","12.2","47.3","895","9636","9488","-1.5","0.3","231","812","796","8422","8.1","2.0","0.0","0.0","0.0","1574","18.9"
"Wade Hampton Census Area","AK","5.2","42.0","13.7","5.4","76.6","474","575","-18.3","71","91.7","0.3","0.2","1.1","0.0","2.6","5.2","4.9","71.1","1744","2183","109300","4.39","3.4","40176","11210","31.4","0","0.6","17081.43","50.0","89.5","0","6.0","47.5","351","7459","8010","7.4","0.4","0","0","395","5211","0.0","0.0","0.0","0.0","0.0","0","0.0"
"Wrangell City and Borough","AK","17.9","20.3","4.8","16.7","89.0","356","524","-3.9","86","16.9","1.9","0.4","2.2","0.0","10.3","70.6","69.2","71.4","1149","1422","157400","2.01","17.2","45841","28474","9.5","6","2.8","2541.48","6.0","86.4","0","9.5","48.2","364","2369","2364","0.0","0.9","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0","0.0"
"Yakutat City and Borough","AK","12.8","19.2","5.7","22.7","93.2","110","147","-2.6","30","36.1","4.6","2.5","3.3","1.7","15.3","39.8","37.2","49.6","254","450","147500","2.15","13.8","72500","34317","5.9","3","5.9","7649.46","19.6","81.8","0","5.4","44.6","58","662","635","-4.1","0.1","37","99","0","0","0.0","0.0","0.0","0.0","0.0","158","25.3"
"Yukon-Koyukuk Census Area","AK","13.3","27.8","8.3","9.3","80.3","337","434","-4.8","99","70.7","0.3","0.6","2.0","0.1","5.0","23.2","22.0","70.4","2056","4024","106500","2.72","2.1","34710","19729","24.2","0","1.1","145504.79","17.3","85.9","0","8.3","46.3","419","5588","5547","-0.7","0.0","54","0","415","7151","56.6","0.0","0.0","0.0","0.0","426","33.8"
"Apache County","AZ","13.5","29.3","7.6","10.4","74.5","2644","6796","-2.4","463","73.5","0.4","0.9","6.4","0.1","1.8","23.4","19.0","76.5","19055","32651","83100","3.7","5.8","31476","12709","36.2","38","1.7","11197.52","57.0","91.7","0","30.0","50.6","4109","71518","71828","0.4","6.4","477","181","2768","3997","31.0","0.0","0.0","6.2","0.0","3732","0.0"
"Cochise County","AZ","19.9","22.4","6.5","22.5","85.8","6369","26387","-3.1","2245","1.7","2.2","4.7","34.6","0.4","3.1","87.9","56.1","68.8","49174","60504","146200","2.47","13.3","45755","23608","17.1","261","11.6","6165.69","27.4","80.9","1813","18.9","49.2","18795","131346","127448","-3.0","21.3","1713","1022","13136","10284","0.7","2.3","2.5","15.5","0.0","8740","33.0"
"Coconino County","AZ","11.1","21.8","6.1","31.1","87.6","8342","44834","0.9","3518","27.3","1.8","1.6","13.9","0.2","2.8","66.4","54.9","59.5","46198","64217","220400","2.74","19.1","49555","23382","23.0","560","5.3","18618.89","23.5","79.8","15268","18.7","50.6","8084","134421","137682","2.4","7.2","7176","4756","16916","13273","7.6","2.1","0.0","5.6","0.0","11407","31.1"
