"County","State","Age.Percent 65 and Older","Age.Percent Under 18 Years","Age.Percent Under 5 Years","Education.Bachelor's Degree or Higher","Education.High School or Higher","Employment.Nonemployer Establishments","Employment.Private Non-farm Employment","Employment.Private Non-farm Employment Percent Change","Employment.Private Non-farm Establishments","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Black Alone","Ethnicities.Hispanic or Latino","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.White Alone","Ethnicities.White Alone, not Hispanic or Latino","Housing.Homeownership Rate","Housing.Households","Housing.Housing Units","Housing.Median Value of Owner-Occupied Units","Housing.Persons per Household","Housing.Units in Multi-Unit Structures","Income.Median Houseold Income","Income.Per Capita Income","Income.Persons Below Poverty Level","Miscellaneous.Building Permits","Miscellaneous.Foreign Born","Miscellaneous.Land Area","Miscellaneous.Language Other than English at Home","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Manufacturers Shipments","Miscellaneous.Mean Travel Time to Work","Miscellaneous.Percent Female","Miscellaneous.Veterans","Population.2010 Population","Population.2014 Population","Population.Population Percent Change","Population.Population per Square Mile","Sales.Accommodation and Food Services Sales","Sales.Merchant Wholesaler Sales","Sales.Retail Sales","Sales.Retail Sales per Capita","Employment.Firms.American Indian-Owned","Employment.Firms.Asian-Owned","Employment.Firms.Black-Owned","Employment.Firms.Hispanic-Owned","Employment.Firms.Native Hawaiian and Other Pacific Islander-Owned","Employment.Firms.Total","Employment.Firms.Women-Owned"
"Clarke County","AL","18.0","22.6","5.6","11.2","78.3","1640","6648","3.7","586","0.4","0.5","44.2","1.3","0.0","0.8","54.0","53.1","72.9","9631","12583","85600","2.63","6.8","29357","18979","29.3","11","0.3","1238.47","1.3","92.5","5714","25.5","52.8","1583","25833","24945","-3.5","20.9","235","858","3443","13034","0.0","0.0","0.0","0.0","0.0","2374","28.6"
"Clay County","AL","19.4","21.6","5.3","9.2","76.5","792","2993","4.6","190","0.6","0.3","14.5","3.4","0.0","1.8","82.8","79.7","75.0","5649","6736","79900","2.38","10.0","34002","18694","19.0","0","2.2","603.96","3.3","88.3","3308","30.7","50.6","1076","13932","13552","-2.7","23.1","43","0","705","5123","0.0","0.0","0.0","0.0","0.0","1005","0.0"
"Cleburne County","AL","18.4","23.3","5.7","9.0","76.0","930","1548","-4.8","152","0.4","0.2","3.6","2.5","0.1","1.2","94.5","92.3","77.6","5601","6690","100800","2.64","6.3","38019","19108","18.4","1","1.5","560.1","2.3","89.1","0","31.4","50.4","989","14972","15080","0.7","26.7","41","58","1334","9080","0.0","0.0","0.0","0.0","0.0","1280","17.7"
"Coffee County","AL","15.9","23.7","6.1","22.5","82.4","2602","12762","0.3","954","1.4","1.6","17.7","6.4","0.4","2.5","76.4","71.3","69.9","18820","22852","131000","2.65","13.5","43768","23380","18.6","58","5.1","678.97","7.5","83.3","6137","21.3","50.5","6066","49948","50909","1.9","73.6","500","1315","6396","13665","0.0","1.3","6.0","0.7","0.0","4032","29.3"
"Colbert County","AL","18.5","21.7","5.7","17.7","83.5","3630","19820","6.2","1226","0.6","0.5","16.3","2.6","0.1","1.7","80.8","78.8","72.1","22260","26192","99300","2.42","12.3","39077","21572","17.9","143","2.0","592.62","2.6","87.2","20831","22.7","51.8","4376","54428","54543","0.2","91.8","619","3513","8212","15040","0.0","0.0","0.0","0.0","0.0","4757","22.8"
"Conecuh County","AL","20.4","21.4","5.5","8.8","77.3","756","2197","-1.5","194","0.4","0.1","46.2","1.8","0.0","1.2","52.1","51.1","79.1","4994","7055","69600","2.61","7.2","24658","15605","32.7","3","0.6","850.16","2.2","96.9","1835","27.2","51.9","1101","13228","12670","-4.2","15.6","86","767","712","5430","0.0","0.0","0.0","0.0","0.0","980","23.0"
"Coosa County","AL","18.5","18.3","4.8","9.8","75.0","367","992","3.9","93","0.6","0.2","31.8","2.3","0.2","1.2","66.1","64.8","83.0","4506","6458","75100","2.42","3.0","37277","18493","20.9","0","1.8","650.93","3.3","87.2","895","30.2","49.5","934","11539","10886","-7.4","17.7","5","316","205","1904","0.0","0.0","0.0","0.0","0.0","545","0.0"
"Covington County","AL","19.8","22.1","5.9","14.2","78.4","2201","10824","0.7","834","0.6","0.5","13.0","1.6","0.0","1.6","84.3","83.1","75.1","15041","18778","88800","2.48","6.0","35869","20391","20.0","8","1.4","1030.46","2.1","86.7","5611","23.3","51.6","3433","37765","37914","0.4","36.6","302","3386","4248","11544","0.0","0.0","0.0","0.0","0.0","2957","0.0"
"Crenshaw County","AL","18.0","22.7","6.1","12.7","76.7","811","3139","1.0","211","0.5","1.8","24.0","1.7","0.1","1.6","72.0","70.6","69.9","5601","6708","70800","2.46","8.0","36275","21343","19.1","2","2.3","608.84","3.2","86.3","2708","30.3","51.1","1098","13906","13977","0.5","22.8","56","1318","754","5491","0.0","0.0","25.8","0.0","0.0","1027","30.2"
"Cullman County","AL","17.6","22.5","5.9","14.8","79.8","5549","22185","3.6","1714","0.6","0.5","1.4","4.4","0.0","1.2","96.2","92.1","75.0","31342","37131","106100","2.53","8.2","38847","20760","18.8","77","3.0","734.84","4.6","87.0","13934","26.4","50.5","6167","80406","81289","1.1","109.4","1022","0","8670","10757","0.0","1.1","1.1","0.0","0.0","7873","23.9"
"Dale County","AL","15.4","23.6","6.3","17.0","84.1","2444","11924","-1.6","766","0.8","1.3","19.7","6.1","0.1","2.8","75.2","70.2","61.1","19345","22832","99400","2.52","13.6","44889","22685","17.4","17","3.7","561.15","6.3","78.4","1149","20.9","50.5","6730","50251","49484","-1.5","89.6","372","693","3325","6889","0.0","0.0","0.0","0.0","0.0","2951","0.0"
"Dallas County","AL","15.6","25.2","6.7","14.2","77.5","2179","10420","-1.0","757","0.2","0.5","69.5","1.0","0.0","0.7","29.0","28.5","60.9","16173","20240","75700","2.63","19.3","26519","17245","35.5","17","0.8","978.7","1.3","86.7","11747","22.0","53.7","2897","43820","41711","-4.8","44.8","337","0","4373","10223","0.0","4.4","49.1","0.0","0.0","3148","28.8"
"DeKalb County","AL","15.7","24.7","6.2","10.7","70.6","4679","16841","3.9","1082","2.1","0.4","2.1","14.2","0.7","2.2","92.4","80.6","76.3","24923","31035","93400","2.82","6.7","37851","18149","19.9","31","7.5","777.09","11.2","90.9","18316","23.3","50.7","4371","71109","71065","-0.1","91.5","679","0","6351","9303","0.8","0.6","0.0","0.0","0.0","5908","25.8"
"Elmore County","AL","14.0","23.0","5.9","21.0","86.6","4850","14056","-2.3","1135","0.4","0.7","21.2","2.7","0.1","1.6","76.0","73.7","75.5","28324","33326","144600","2.62","8.1","54766","23856","13.4","259","2.1","618.49","3.6","85.4","7663","28.2","51.5","8364","79303","80977","2.1","128.2","478","1048","6183","7982","0.0","0.0","9.1","0.0","0.0","6513","28.3"
"Escambia County","AL","16.7","22.0","6.1","11.7","76.2","2111","9977","1.0","723","3.4","0.3","32.4","2.1","0.1","1.7","62.2","60.6","72.5","13681","16402","84100","2.59","9.0","30687","16540","25.4","26","0.6","945.08","1.4","93.4","6653","23.5","48.8","2995","38319","37733","-1.5","40.5","319","931","3795","10089","3.2","0.0","9.0","0.0","0.0","2765","21.3"
"Etowah County","AL","17.3","22.1","5.7","14.8","81.8","6988","29796","-0.5","2008","0.5","0.8","15.5","3.7","0.3","1.6","81.2","78.4","72.4","40217","47505","100000","2.55","12.1","38013","20204","19.0","79","2.2","534.99","3.1","85.0","12529","23.9","51.6","8638","104430","103531","-0.9","195.2","1379","5184","11148","10801","0.0","0.0","6.1","0.6","0.0","9147","25.7"
"Fayette County","AL","19.6","21.7","5.4","13.2","74.9","1073","3323","-3.8","306","0.4","0.3","11.9","1.4","0.0","1.1","86.2","85.0","74.9","6956","8404","71400","2.41","8.7","33838","18494","19.9","0","0.6","627.66","0.8","87.8","1862","27.5","50.5","1221","17241","16874","-2.1","27.5","108","224","1303","7433","0.0","0.0","5.1","0.0","0.0","1378","24.3"
"Franklin County","AL","15.9","24.3","6.6","11.0","72.5","1863","9369","-8.0","510","1.5","0.4","4.6","16.1","0.2","1.5","91.9","78.0","69.5","12437","14048","82300","2.52","12.0","36415","18888","21.9","13","8.4","633.82","13.2","86.4","6719","26.2","50.3","1860","31704","31601","-0.3","50.0","253","673","2690","8786","0.0","0.0","0.0","0.0","0.0","2357","23.2"
"Geneva County","AL","19.2","22.2","5.8","10.4","77.2","1584","3791","2.8","400","1.0","0.4","9.7","3.6","0.1","1.7","87.1","84.1","72.1","10945","12646","78100","2.43","5.6","35625","20199","21.2","8","1.8","574.41","3.0","82.7","1533","25.6","50.8","2336","26790","26712","-0.3","46.6","104","2316","1700","6612","0.0","0.0","0.0","0.0","0.0","1736","0.0"
"Greene County","AL","17.9","23.3","5.9","12.8","76.2","506","1379","16.3","99","0.2","0.2","80.5","1.0","0.0","0.6","18.5","17.9","73.2","3264","4988","72700","2.72","8.9","24226","14930","32.9","4","0.2","647.11","1.4","92.4","0","28.0","52.5","502","9045","8553","-5.4","14.0","12","0","336","3697","0.0","0.0","60.3","0.0","0.0","657","36.1"
"Hale County","AL","17.3","23.3","6.2","12.8","77.4","762","1966","0.2","195","0.2","0.3","58.1","1.3","0.0","0.6","40.8","40.0","78.0","5969","7639","79900","2.56","6.1","30051","18812","26.6","8","1.2","643.94","2.7","90.6","0","27.1","52.8","995","15760","15184","-3.7","24.5","31","0","867","4794","0.0","0.0","0.0","0.0","0.0","882","0.0"
